×Ö·û----GB-------Unicode------UTF-8
ÀÊ     cac0      6717        e6-9c-97 
ÀË     cbc0      6d6a        e6-b5-aa 
ÀÌ     ccc0      635e        e6-8d-9e 
ÀÍ     cdc0      52b3        e5-8a-b3 
ÀÎ     cec0      7262        e7-89-a2 
ÀÏ     cfc0      8001        e8-80-81 
ÀÐ     d0c0      4f6c        e4-bd-ac 
ÀÑ     d1c0      59e5        e5-a7-a5 
ÀÒ     d2c0      916a        e9-85-aa 
ÀÓ     d3c0      70d9        e7-83-99 
ÀÔ     d4c0      6d9d        e6-b6-9d 
ÀÕ     d5c0      52d2        e5-8b-92 
ÀÖ     d6c0      4e50        e4-b9-90 
À×     d7c0      96f7        e9-9b-b7 
ÀØ     d8c0      956d        e9-95-ad 
ÀÙ     d9c0      857e        e8-95-be 
ÀÚ     dac0      78ca        e7-a3-8a 
ÀÛ     dbc0      7d2f        e7-b4-af 
ÀÜ     dcc0      5121        e5-84-a1 
ÀÝ     ddc0      5792        e5-9e-92 
ÀÞ     dec0      64c2        e6-93-82 
Àß     dfc0      808b        e8-82-8b 
Àà     e0c0      7c7b        e7-b1-bb 
Àá     e1c0      6cea        e6-b3-aa 
Àâ     e2c0      68f1        e6-a3-b1 
Àã     e3c0      695e        e6-a5-9e 
Àä     e4c0      51b7        e5-86-b7 
Àå     e5c0      5398        e5-8e-98 
Àæ     e6c0      68a8        e6-a2-a8 
Àç     e7c0      7281        e7-8a-81 
Àè     e8c0      9ece        e9-bb-8e 
Àé     e9c0      7bf1        e7-af-b1 
Àê     eac0      72f8        e7-8b-b8 
Àë     ebc0      79bb        e7-a6-bb 
Àì     ecc0      6f13        e6-bc-93 
Àí     edc0      7406        e7-90-86 
Àî     eec0      674e        e6-9d-8e 
Àï     efc0      91cc        e9-87-8c 
Àð     f0c0      9ca4        e9-b2-a4 
Àñ     f1c0      793c        e7-a4-bc 
Àò     f2c0      8389        e8-8e-89 
Àó     f3c0      8354        e8-8d-94 
Àô     f4c0      540f        e5-90-8f 
Àõ     f5c0      6817        e6-a0-97 
Àö     f6c0      4e3d        e4-b8-bd 
À÷     f7c0      5389        e5-8e-89 
Àø     f8c0      52b1        e5-8a-b1 
Àù     f9c0      783e        e7-a0-be 
Àú     fac0      5386        e5-8e-86 
Àû     fbc0      5229        e5-88-a9 
Àü     fcc0      5088        e5-82-88 
Àý     fdc0      4f8b        e4-be-8b 
Àþ     fec0      4fd0        e4-bf-90 
Á¡     a1c1      75e2        e7-97-a2 
Á¢     a2c1      7acb        e7-ab-8b 
Á£     a3c1      7c92        e7-b2-92 
Á¤     a4c1      6ca5        e6-b2-a5 
Á¥     a5c1      96b6        e9-9a-b6 
Á¦     a6c1      529b        e5-8a-9b 
Á§     a7c1      7483        e7-92-83 
Á¨     a8c1      54e9        e5-93-a9 
Á©     a9c1      4fe9        e4-bf-a9 
Áª     aac1      8054        e8-81-94 
Á«     abc1      83b2        e8-8e-b2 
Á¬     acc1      8fde        e8-bf-9e 
Á­     adc1      9570        e9-95-b0 
Á®     aec1      5ec9        e5-bb-89 
Á¯     afc1      601c        e6-80-9c 
Á°     b0c1      6d9f        e6-b6-9f 
Á±     b1c1      5e18        e5-b8-98 
Á²     b2c1      655b        e6-95-9b 
Á³     b3c1      8138        e8-84-b8 
Á´     b4c1      94fe        e9-93-be 
Áµ     b5c1      604b        e6-81-8b 
Á¶     b6c1      70bc        e7-82-bc 
Á·     b7c1      7ec3        e7-bb-83 
Á¸     b8c1      7cae        e7-b2-ae 
Á¹     b9c1      51c9        e5-87-89 
Áº     bac1      6881        e6-a2-81 
Á»     bbc1      7cb1        e7-b2-b1 
Á¼     bcc1      826f        e8-89-af 
Á½     bdc1      4e24        e4-b8-a4 
Á¾     bec1      8f86        e8-be-86 
Á¿     bfc1      91cf        e9-87-8f 
ÁÀ     c0c1      667e        e6-99-be 
ÁÁ     c1c1      4eae        e4-ba-ae 
ÁÂ     c2c1      8c05        e8-b0-85 
ÁÃ     c3c1      64a9        e6-92-a9 
ÁÄ     c4c1      804a        e8-81-8a 
ÁÅ     c5c1      50da        e5-83-9a 
ÁÆ     c6c1      7597        e7-96-97 
ÁÇ     c7c1      71ce        e7-87-8e 
ÁÈ     c8c1      5be5        e5-af-a5 
ÁÉ     c9c1      8fbd        e8-be-bd 
ÁÊ     cac1      6f66        e6-bd-a6 
ÁË     cbc1      4e86        e4-ba-86 
ÁÌ     ccc1      6482        e6-92-82 
ÁÍ     cdc1      9563        e9-95-a3 
ÁÎ     cec1      5ed6        e5-bb-96 
ÁÏ     cfc1      6599        e6-96-99 
ÁÐ     d0c1      5217        e5-88-97 
ÁÑ     d1c1      88c2        e8-a3-82 
ÁÒ     d2c1      70c8        e7-83-88 
ÁÓ     d3c1      52a3        e5-8a-a3 
ÁÔ     d4c1      730e        e7-8c-8e 
ÁÕ     d5c1      7433        e7-90-b3 
ÁÖ     d6c1      6797        e6-9e-97 
Á×     d7c1      78f7        e7-a3-b7 
ÁØ     d8c1      9716        e9-9c-96 
ÁÙ     d9c1      4e34        e4-b8-b4 
ÁÚ     dac1      90bb        e9-82-bb 
ÁÛ     dbc1      9cde        e9-b3-9e 
ÁÜ     dcc1      6dcb        e6-b7-8b 
ÁÝ     ddc1      51db        e5-87-9b 
ÁÞ     dec1      8d41        e8-b5-81 
Áß     dfc1      541d        e5-90-9d 
Áà     e0c1      62ce        e6-8b-8e 
Áá     e1c1      73b2        e7-8e-b2 
Áâ     e2c1      83f1        e8-8f-b1 
Áã     e3c1      96f6        e9-9b-b6 
Áä     e4c1      9f84        e9-be-84 
Áå     e5c1      94c3        e9-93-83 
Áæ     e6c1      4f36        e4-bc-b6 
Áç     e7c1      7f9a        e7-be-9a 
Áè     e8c1      51cc        e5-87-8c 
Áé     e9c1      7075        e7-81-b5 
Áê     eac1      9675        e9-99-b5 
Áë     ebc1      5cad        e5-b2-ad 
Áì     ecc1      9886        e9-a2-86 
Áí     edc1      53e6        e5-8f-a6 
Áî     eec1      4ee4        e4-bb-a4 
Áï     efc1      6e9c        e6-ba-9c 
Áð     f0c1      7409        e7-90-89 
Áñ     f1c1      69b4        e6-a6-b4 
Áò     f2c1      786b        e7-a1-ab 
Áó     f3c1      998f        e9-a6-8f 
Áô     f4c1      7559        e7-95-99 
Áõ     f5c1      5218        e5-88-98 
Áö     f6c1      7624        e7-98-a4 
Á÷     f7c1      6d41        e6-b5-81 
Áø     f8c1      67f3        e6-9f-b3 
Áù     f9c1      516d        e5-85-ad 
Áú     fac1      9f99        e9-be-99 
Áû     fbc1      804b        e8-81-8b 
Áü     fcc1      5499        e5-92-99 
Áý     fdc1      7b3c        e7-ac-bc 
Áþ     fec1      7abf        e7-aa-bf 
Â¡     a1c2      9686        e9-9a-86 
Â¢     a2c2      5784        e5-9e-84 
Â£     a3c2      62e2        e6-8b-a2 
Â¤     a4c2      9647        e9-99-87 
Â¥     a5c2      697c        e6-a5-bc 
Â¦     a6c2      5a04        e5-a8-84 
Â§     a7c2      6402        e6-90-82 
Â¨     a8c2      7bd3        e7-af-93 
Â©     a9c2      6f0f        e6-bc-8f 
Âª     aac2      964b        e9-99-8b 
Â«     abc2      82a6        e8-8a-a6 
Â¬     acc2      5362        e5-8d-a2 
Â­     adc2      9885        e9-a2-85 
Â®     aec2      5e90        e5-ba-90 
Â¯     afc2      7089        e7-82-89 
Â°     b0c2      63b3        e6-8e-b3 
Â±     b1c2      5364        e5-8d-a4 
Â²     b2c2      864f        e8-99-8f 
Â³     b3c2      9c81        e9-b2-81 
Â´     b4c2      9e93        e9-ba-93 
Âµ     b5c2      788c        e7-a2-8c 
Â¶     b6c2      9732        e9-9c-b2 
Â·     b7c2      8def        e8-b7-af 
Â¸     b8c2      8d42        e8-b5-82 
Â¹     b9c2      9e7f        e9-b9-bf 
Âº     bac2      6f5e        e6-bd-9e 
Â»     bbc2      7984        e7-a6-84 
Â¼     bcc2      5f55        e5-bd-95 
Â½     bdc2      9646        e9-99-86 
Â¾     bec2      622e        e6-88-ae 
Â¿     bfc2      9a74        e9-a9-b4 
ÂÀ     c0c2      5415        e5-90-95 
ÂÁ     c1c2      94dd        e9-93-9d 
ÂÂ     c2c2      4fa3        e4-be-a3 
ÂÃ     c3c2      65c5        e6-97-85 
ÂÄ     c4c2      5c65        e5-b1-a5 
ÂÅ     c5c2      5c61        e5-b1-a1 
ÂÆ     c6c2      7f15        e7-bc-95 
ÂÇ     c7c2      8651        e8-99-91 
ÂÈ     c8c2      6c2f        e6-b0-af 
ÂÉ     c9c2      5f8b        e5-be-8b 
ÂÊ     cac2      7387        e7-8e-87 
ÂË     cbc2      6ee4        e6-bb-a4 
ÂÌ     ccc2      7eff        e7-bb-bf 
ÂÍ     cdc2      5ce6        e5-b3-a6 
ÂÎ     cec2      631b        e6-8c-9b 
ÂÏ     cfc2      5b6a        e5-ad-aa 
ÂÐ     d0c2      6ee6        e6-bb-a6 
ÂÑ     d1c2      5375        e5-8d-b5 
ÂÒ     d2c2      4e71        e4-b9-b1 
ÂÓ     d3c2      63a0        e6-8e-a0 
ÂÔ     d4c2      7565        e7-95-a5 
ÂÕ     d5c2      62a1        e6-8a-a1 
ÂÖ     d6c2      8f6e        e8-bd-ae 
Â×     d7c2      4f26        e4-bc-a6 
ÂØ     d8c2      4ed1        e4-bb-91 
ÂÙ     d9c2      6ca6        e6-b2-a6 
ÂÚ     dac2      7eb6        e7-ba-b6 
ÂÛ     dbc2      8bba        e8-ae-ba 
ÂÜ     dcc2      841d        e8-90-9d 
ÂÝ     ddc2      87ba        e8-9e-ba 
ÂÞ     dec2      7f57        e7-bd-97 
Âß     dfc2      903b        e9-80-bb 
Âà     e0c2      9523        e9-94-a3 
Âá     e1c2      7ba9        e7-ae-a9 
Ââ     e2c2      9aa1        e9-aa-a1 
Âã     e3c2      88f8        e8-a3-b8 
Âä     e4c2      843d        e8-90-bd 
Âå     e5c2      6d1b        e6-b4-9b 
Âæ     e6c2      9a86        e9-aa-86 
Âç     e7c2      7edc        e7-bb-9c 
Âè     e8c2      5988        e5-a6-88 
Âé     e9c2      9ebb        e9-ba-bb 
Âê     eac2      739b        e7-8e-9b 
Âë     ebc2      7801        e7-a0-81 
Âì     ecc2      8682        e8-9a-82 
Âí     edc2      9a6c        e9-a9-ac 
Âî     eec2      9a82        e9-aa-82 
Âï     efc2      561b        e5-98-9b 
Âð     f0c2      5417        e5-90-97 
Âñ     f1c2      57cb        e5-9f-8b 
Âò     f2c2      4e70        e4-b9-b0 
Âó     f3c2      9ea6        e9-ba-a6 
Âô     f4c2      5356        e5-8d-96 
Âõ     f5c2      8fc8        e8-bf-88 
Âö     f6c2      8109        e8-84-89 
Â÷     f7c2      7792        e7-9e-92 
Âø     f8c2      9992        e9-a6-92 
Âù     f9c2      86ee        e8-9b-ae 
Âú     fac2      6ee1        e6-bb-a1 
Âû     fbc2      8513        e8-94-93 
Âü     fcc2      66fc        e6-9b-bc 
Âý     fdc2      6162        e6-85-a2 
Âþ     fec2      6f2b        e6-bc-ab 
Ã¡     a1c3      8c29        e8-b0-a9 
Ã¢     a2c3      8292        e8-8a-92 
Ã£     a3c3      832b        e8-8c-ab 
Ã¤     a4c3      76f2        e7-9b-b2 
Ã¥     a5c3      6c13        e6-b0-93 
Ã¦     a6c3      5fd9        e5-bf-99 
Ã§     a7c3      83bd        e8-8e-bd 
Ã¨     a8c3      732b        e7-8c-ab 
Ã©     a9c3      8305        e8-8c-85 
Ãª     aac3      951a        e9-94-9a 
Ã«     abc3      6bdb        e6-af-9b 
Ã¬     acc3      77db        e7-9f-9b 
Ã­     adc3      94c6        e9-93-86 
Ã®     aec3      536f        e5-8d-af 
Ã¯     afc3      8302        e8-8c-82 
Ã°     b0c3      5192        e5-86-92 
Ã±     b1c3      5e3d        e5-b8-bd 
Ã²     b2c3      8c8c        e8-b2-8c 
Ã³     b3c3      8d38        e8-b4-b8 
Ã´     b4c3      4e48        e4-b9-88 
Ãµ     b5c3      73ab        e7-8e-ab 
Ã¶     b6c3      679a        e6-9e-9a 
Ã·     b7c3      6885        e6-a2-85 
Ã¸     b8c3      9176        e9-85-b6 
Ã¹     b9c3      9709        e9-9c-89 
Ãº     bac3      7164        e7-85-a4 
Ã»     bbc3      6ca1        e6-b2-a1 
Ã¼     bcc3      7709        e7-9c-89 
Ã½     bdc3      5a92        e5-aa-92 
Ã¾     bec3      9541        e9-95-81 
Ã¿     bfc3      6bcf        e6-af-8f 
ÃÀ     c0c3      7f8e        e7-be-8e 
ÃÁ     c1c3      6627        e6-98-a7 
ÃÂ     c2c3      5bd0        e5-af-90 
ÃÃ     c3c3      59b9        e5-a6-b9 
ÃÄ     c4c3      5a9a        e5-aa-9a 
ÃÅ     c5c3      95e8        e9-97-a8 
ÃÆ     c6c3      95f7        e9-97-b7 
ÃÇ     c7c3      4eec        e4-bb-ac 
ÃÈ     c8c3      840c        e8-90-8c 
ÃÉ     c9c3      8499        e8-92-99 
ÃÊ     cac3      6aac        e6-aa-ac 
ÃË     cbc3      76df        e7-9b-9f 
ÃÌ     ccc3      9530        e9-94-b0 
ÃÍ     cdc3      731b        e7-8c-9b 
ÃÎ     cec3      68a6        e6-a2-a6 
ÃÏ     cfc3      5b5f        e5-ad-9f 
ÃÐ     d0c3      772f        e7-9c-af 
ÃÑ     d1c3      919a        e9-86-9a 
ÃÒ     d2c3      9761        e9-9d-a1 
ÃÓ     d3c3      7cdc        e7-b3-9c 
ÃÔ     d4c3      8ff7        e8-bf-b7 
ÃÕ     d5c3      8c1c        e8-b0-9c 
ÃÖ     d6c3      5f25        e5-bc-a5 
Ã×     d7c3      7c73        e7-b1-b3 
ÃØ     d8c3      79d8        e7-a7-98 
ÃÙ     d9c3      89c5        e8-a7-85 
ÃÚ     dac3      6ccc        e6-b3-8c 
ÃÛ     dbc3      871c        e8-9c-9c 
ÃÜ     dcc3      5bc6        e5-af-86 
ÃÝ     ddc3      5e42        e5-b9-82 
ÃÞ     dec3      68c9        e6-a3-89 
Ãß     dfc3      7720        e7-9c-a0 
Ãà     e0c3      7ef5        e7-bb-b5 
Ãá     e1c3      5195        e5-86-95 
Ãâ     e2c3      514d        e5-85-8d 
Ãã     e3c3      52c9        e5-8b-89 
Ãä     e4c3      5a29        e5-a8-a9 
Ãå     e5c3      7f05        e7-bc-85 
Ãæ     e6c3      9762        e9-9d-a2 
Ãç     e7c3      82d7        e8-8b-97 
Ãè     e8c3      63cf        e6-8f-8f 
Ãé     e9c3      7784        e7-9e-84 
Ãê     eac3      85d0        e8-97-90 
Ãë     ebc3      79d2        e7-a7-92 
Ãì     ecc3      6e3a        e6-b8-ba 
Ãí     edc3      5e99        e5-ba-99 
Ãî     eec3      5999        e5-a6-99 
Ãï     efc3      8511        e8-94-91 
Ãð     f0c3      706d        e7-81-ad 
Ãñ     f1c3      6c11        e6-b0-91 
Ãò     f2c3      62bf        e6-8a-bf 
Ãó     f3c3      76bf        e7-9a-bf 
Ãô     f4c3      654f        e6-95-8f 
Ãõ     f5c3      60af        e6-82-af 
Ãö     f6c3      95fd        e9-97-bd 
Ã÷     f7c3      660e        e6-98-8e 
Ãø     f8c3      879f        e8-9e-9f 
Ãù     f9c3      9e23        e9-b8-a3 
Ãú     fac3      94ed        e9-93-ad 
Ãû     fbc3      540d        e5-90-8d 
Ãü     fcc3      547d        e5-91-bd 
Ãý     fdc3      8c2c        e8-b0-ac 
Ãþ     fec3      6478        e6-91-b8 
Ä¡     a1c4      6479        e6-91-b9 
Ä¢     a2c4      8611        e8-98-91 
Ä£     a3c4      6a21        e6-a8-a1 
Ä¤     a4c4      819c        e8-86-9c 
Ä¥     a5c4      78e8        e7-a3-a8 
Ä¦     a6c4      6469        e6-91-a9 
Ä§     a7c4      9b54        e9-ad-94 
Ä¨     a8c4      62b9        e6-8a-b9 
Ä©     a9c4      672b        e6-9c-ab 
Äª     aac4      83ab        e8-8e-ab 
Ä«     abc4      58a8        e5-a2-a8 
Ä¬     acc4      9ed8        e9-bb-98 
Ä­     adc4      6cab        e6-b2-ab 
Ä®     aec4      6f20        e6-bc-a0 
Ä¯     afc4      5bde        e5-af-9e 
Ä°     b0c4      964c        e9-99-8c 
Ä±     b1c4      8c0b        e8-b0-8b 
Ä²     b2c4      725f        e7-89-9f 
Ä³     b3c4      67d0        e6-9f-90 
Ä´     b4c4      62c7        e6-8b-87 
Äµ     b5c4      7261        e7-89-a1 
Ä¶     b6c4      4ea9        e4-ba-a9 
Ä·     b7c4      59c6        e5-a7-86 
Ä¸     b8c4      6bcd        e6-af-8d 
Ä¹     b9c4      5893        e5-a2-93 
Äº     bac4      66ae        e6-9a-ae 
Ä»     bbc4      5e55        e5-b9-95 
Ä¼     bcc4      52df        e5-8b-9f 
Ä½     bdc4      6155        e6-85-95 
Ä¾     bec4      6728        e6-9c-a8 
Ä¿     bfc4      76ee        e7-9b-ae 
ÄÀ     c0c4      7766        e7-9d-a6 
ÄÁ     c1c4      7267        e7-89-a7 
ÄÂ     c2c4      7a46        e7-a9-86 
ÄÃ     c3c4      62ff        e6-8b-bf 
ÄÄ     c4c4      54ea        e5-93-aa 
ÄÅ     c5c4      5450        e5-91-90 
ÄÆ     c6c4      94a0        e9-92-a0 
ÄÇ     c7c4      90a3        e9-82-a3 
ÄÈ     c8c4      5a1c        e5-a8-9c 
ÄÉ     c9c4      7eb3        e7-ba-b3 
ÄÊ     cac4      6c16        e6-b0-96 
ÄË     cbc4      4e43        e4-b9-83 
ÄÌ     ccc4      5976        e5-a5-b6 
ÄÍ     cdc4      8010        e8-80-90 
ÄÎ     cec4      5948        e5-a5-88 
ÄÏ     cfc4      5357        e5-8d-97 
ÄÐ     d0c4      7537        e7-94-b7 
ÄÑ     d1c4      96be        e9-9a-be 
ÄÒ     d2c4      56ca        e5-9b-8a 
ÄÓ     d3c4      6320        e6-8c-a0 
ÄÔ     d4c4      8111        e8-84-91 
ÄÕ     d5c4      607c        e6-81-bc 
ÄÖ     d6c4      95f9        e9-97-b9 
Ä×     d7c4      6dd6        e6-b7-96 
ÄØ     d8c4      5462        e5-91-a2 
ÄÙ     d9c4      9981        e9-a6-81 
ÄÚ     dac4      5185        e5-86-85 
ÄÛ     dbc4      5ae9        e5-ab-a9 
ÄÜ     dcc4      80fd        e8-83-bd 
ÄÝ     ddc4      59ae        e5-a6-ae 
ÄÞ     dec4      9713        e9-9c-93 
Äß     dfc4      502a        e5-80-aa 
Äà     e0c4      6ce5        e6-b3-a5 
Äá     e1c4      5c3c        e5-b0-bc 
Äâ     e2c4      62df        e6-8b-9f 
Äã     e3c4      4f60        e4-bd-a0 
Ää     e4c4      533f        e5-8c-bf 
Äå     e5c4      817b        e8-85-bb 
Äæ     e6c4      9006        e9-80-86 
Äç     e7c4      6eba        e6-ba-ba 
Äè     e8c4      852b        e8-94-ab 
Äé     e9c4      62c8        e6-8b-88 
Äê     eac4      5e74        e5-b9-b4 
Äë     ebc4      78be        e7-a2-be 
Äì     ecc4      64b5        e6-92-b5 
Äí     edc4      637b        e6-8d-bb 
Äî     eec4      5ff5        e5-bf-b5 
Äï     efc4      5a18        e5-a8-98 
Äð     f0c4      917f        e9-85-bf 
Äñ     f1c4      9e1f        e9-b8-9f 
Äò     f2c4      5c3f        e5-b0-bf 
Äó     f3c4      634f        e6-8d-8f 
Äô     f4c4      8042        e8-81-82 
Äõ     f5c4      5b7d        e5-ad-bd 
Äö     f6c4      556e        e5-95-ae 
Ä÷     f7c4      954a        e9-95-8a 
Äø     f8c4      954d        e9-95-8d 
Äù     f9c4      6d85        e6-b6-85 
Äú     fac4      60a8        e6-82-a8 
Äû     fbc4      67e0        e6-9f-a0 
Äü     fcc4      72de        e7-8b-9e 
Äý     fdc4      51dd        e5-87-9d 
Äþ     fec4      5b81        e5-ae-81 
Å¡     a1c5      62e7        e6-8b-a7 
Å¢     a2c5      6cde        e6-b3-9e 
Å£     a3c5      725b        e7-89-9b 
Å¤     a4c5      626d        e6-89-ad 
Å¥     a5c5      94ae        e9-92-ae 
Å¦     a6c5      7ebd        e7-ba-bd 
Å§     a7c5      8113        e8-84-93 
Å¨     a8c5      6d53        e6-b5-93 
Å©     a9c5      519c        e5-86-9c 
Åª     aac5      5f04        e5-bc-84 
Å«     abc5      5974        e5-a5-b4 
Å¬     acc5      52aa        e5-8a-aa 
Å­     adc5      6012        e6-80-92 
Å®     aec5      5973        e5-a5-b3 
Å¯     afc5      6696        e6-9a-96 
Å°     b0c5      8650        e8-99-90 
